accuracy,f1,auc,sensitivity,specificity,brier,ece,model,feature_set,fold
0.8036303630363036,0.2958579881656805,0.7305487431023913,0.17857142857142858,0.9914163090128756,0.15016326345792508,0.026367766381349547,SVC-RBF,(d) +fractal,3
0.8073701842546064,0.16058394160583941,0.6443667157584683,0.09821428571428571,0.9711340206185567,0.1471834298395143,0.04137250245274198,SVC-RBF,(d) +fractal,4
0.7775862068965518,0.3027027027027027,0.6501866555494495,0.24778761061946902,0.9057815845824411,0.1605110402370565,0.09545329703210756,XGBoost,(d) +fractal,0
0.7914614121510674,0.3864734299516908,0.7230837871934521,0.2898550724637681,0.9384288747346072,0.1502226771070962,0.05660360371342237,XGBoost,(d) +fractal,1
0.7947882736156352,0.35714285714285715,0.6770706374860896,0.30973451327433627,0.9041916167664671,0.14972252295061486,0.1005184280197667,XGBoost,(d) +fractal,2
0.8283828382838284,0.559322033898305,0.7908798283261802,0.4714285714285714,0.9356223175965666,0.12932212695867984,0.05959796662697501,XGBoost,(d) +fractal,3
0.8090452261306532,0.3804347826086957,0.6889175257731959,0.3125,0.9237113402061856,0.14477767505400027,0.08121170540351165,XGBoost,(d) +fractal,4
0.8275862068965517,0.3333333333333333,0.7393454738397983,0.22123893805309736,0.974304068522484,0.1300069104276011,0.03313014846827126,GPC,(d) +fractal,0
0.8210180623973727,0.39779005524861877,0.7624542293609036,0.2608695652173913,0.9851380042462845,0.13525780676946503,0.04047895097841607,GPC,(d) +fractal,1
0.8306188925081434,0.3333333333333333,0.7054563439492696,0.23008849557522124,0.9660678642714571,0.13235050158066122,0.05397735934529104,GPC,(d) +fractal,2
0.8564356435643564,0.583732057416268,0.7961066830165543,0.4357142857142857,0.9828326180257511,0.12313525749600883,0.04682024841689822,GPC,(d) +fractal,3
0.8458961474036851,0.3698630136986301,0.7080633284241531,0.24107142857142858,0.9855670103092784,0.1306866627994214,0.039493212533579375,GPC,(d) +fractal,4
0.6810344827586207,0.42724458204334365,0.7032271512762691,0.6106194690265486,0.6980728051391863,0.20369008309300213,0.23670465642531466,Lasso-LR,(e) +heart-cycle,0
0.7668308702791461,0.538961038961039,0.7528847041447428,0.6014492753623188,0.8152866242038217,0.17266256690024687,0.18564852577505472,Lasso-LR,(e) +heart-cycle,1
0.6905537459283387,0.42424242424242425,0.724215286241676,0.6194690265486725,0.7065868263473054,0.2017059741233894,0.25084689832520285,Lasso-LR,(e) +heart-cycle,2
0.7260726072607261,0.5489130434782609,0.782618025751073,0.7214285714285714,0.7274678111587983,0.18787128399150949,0.22136599227129589,Lasso-LR,(e) +heart-cycle,3
0.6901172529313233,0.3853820598006645,0.6867636229749632,0.5178571428571429,0.7298969072164948,0.201801628382149,0.2315773464294736,Lasso-LR,(e) +heart-cycle,4
